bucket,producto,stock_antes_ajuste,conteo_hoja_20_05,ajuste_salida_manual,stock_final,nota
TIPO_A,Plancha de 30 Tipo A,157.5334,241.0,-83.4666,241.0,Ajuste manual segun hoja 20/05/2026
SUPER,PLANCHA 30 SUPER,2.0,54.0,-52.0,54.0,Ajuste manual segun hoja 20/05/2026
TIPO_B,PLANCHA 30 TIPO B,-2058.0,210.22,-2268.22,210.22,Ajuste manual segun hoja 20/05/2026
JUMBO,PLANCHAS 30 JUMBO,12.0,15.22,-3.22,15.22,Ajuste manual segun hoja 20/05/2026
TIPO_C,PLANCHAS TIPO C,2.0,9.0,-7.0,9.0,Ajuste manual segun hoja 20/05/2026
PICADO,PLANCHA 30 HUEVOS PICADO,31.8667,5.7,26.1667,5.7,Ajuste manual segun hoja 20/05/2026
SUCIOS,Sucios,288.6667,326.9,-38.2333,326.9,Ajuste manual segun hoja 20/05/2026
ROTOS,Rotos,16.1,,0.0,16.1,Sin cambio porque no se ve Rotos en la hoja 20/05/2026
SIN_CLASIFICAR,Sin clasificar,4318.3666,3878.0,440.3666,3878.0,Interprete 3,878 como 3878
DE_6,De 6,10.0,10.0,0.0,10.0,Ajuste manual segun hoja 20/05/2026
DE_12,De 12,0.0,75.0,-75.0,75.0,Ajuste manual segun hoja 20/05/2026
DE_20,De 20,-0.0001,56.0,-56.0001,56.0,Ajuste manual segun hoja 20/05/2026
